Asset,Model,MSE,MAE,AIC,BIC,LogLikelihood,Model_Type,Engine,Data_Source,Source_File,Sheet_Name
EURZAR,fGARCH,0.0001380289281482,0.0086439973162039,-29791.0983563139,-29752.6073935188,14901.549178157,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
NVDA,fGARCH,0.0011195454270903,0.0238029111472772,-19861.1615959475,-19822.6706331524,9936.58079797373,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
MSFT,fGARCH,0.0003635709753262,0.0133331599883088,-25285.28099443,-25246.7900316349,12648.640497215,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
PG,fGARCH,0.0001656804330113,0.0088060718771439,-29068.4703612036,-29029.9793984085,14540.2351806018,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
CAT,fGARCH,0.0004865726372324,0.0155644367127381,-23648.64333194,-23610.1523691449,11830.32166597,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
WMT,fGARCH,0.0002024320944537,0.0097582380654304,-27987.1546403849,-27948.6636775898,13999.5773201925,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
AMZN,fGARCH,0.0006742064219145,0.0178011068222923,-22488.301313012,-22449.8103502169,11250.150656506,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
NF_GARCH,NF_eGARCH,1.18137469062434,0.639552100485629,27401.3105107421,27439.8014735372,-13694.6552553711,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,NF_GARCH_Summary
NF_GARCH,fGARCH,0.0002996177475728,0.0108763485789128,-28273.7513163331,-28235.260353538,14142.8756581666,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,NF_GARCH_Summary
NF_GARCH,NF_gjrGARCH,0.0003133760062229,0.0112221655607113,-28244.7567895128,-28206.2658267176,14128.3783947564,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,NF_GARCH_Summary
NF_GARCH,NF_sGARCH,0.0006248695624855,0.0145424899880528,-27762.03722833,-27736.3765864666,13885.018614165,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,NF_GARCH_Summary
NF_GARCH,NF_sGARCH,0.0003171775896674,0.0112858395639498,-28224.6219527426,-28192.5461504133,14117.3109763713,NF-GARCH,manual,NF_GARCH_Excel,results/Final/nf_garch_manual_results.xlsx,NF_GARCH_Summary
NF_GARCH,TGARCH,0.000265231788437,0.0099795931204911,-6.23674331462475,-6.17773880124684,1566.18582865619,Standard GARCH,rugarch,Standard_GARCH_Excel,results/consolidated/nf_garch_comprehensive_results.xlsx,Model_Performance_Summary
NF_GARCH,eGARCH,0.000265255247246,0.009980572751332,-6.16499588686336,-6.10599137348545,1548.24897171584,Standard GARCH,rugarch,Standard_GARCH_Excel,results/consolidated/nf_garch_comprehensive_results.xlsx,Model_Performance_Summary
