Asset,Model,MSE,MAE,AIC,BIC,LogLikelihood,Data_Source,Source_File,Sheet_Name
GBPZAR,fGARCH,0.000140618533396537,0.00874639440781974,-29514.4191158516,-29475.9281530565,14763.2095579258,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
EURZAR,fGARCH,0.000138028928148255,0.00864399731620393,-29791.0983563139,-29752.6073935188,14901.549178157,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NVDA,fGARCH,0.00111954542709036,0.0238029111472772,-19861.1615959475,-19822.6706331524,9936.58079797373,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
MSFT,fGARCH,0.000363570975326294,0.0133331599883088,-25285.28099443,-25246.7900316349,12648.640497215,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
PG,fGARCH,0.000165680433011315,0.00880607187714391,-29068.4703612036,-29029.9793984085,14540.2351806018,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
CAT,fGARCH,0.000486572637232474,0.0155644367127381,-23648.64333194,-23610.1523691449,11830.32166597,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
WMT,fGARCH,0.000202432094453778,0.00975823806543042,-27987.1546403849,-27948.6636775898,13999.5773201925,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
AMZN,fGARCH,0.000674206421914512,0.0178011068222923,-22488.301313012,-22449.8103502169,11250.150656506,NF_GARCH_Chrono,results/Final/NF_GARCH_Results_manual.xlsx,Chrono_Split_NF_GARCH
NF_GARCH,eGARCH,1.18137469062434,0.639552100485629,27401.3105107421,27439.8014735372,-13694.6552553711,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,fGARCH,0.000299617747572895,0.0108763485789128,-28273.7513163331,-28235.260353538,14142.8756581666,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,gjrGARCH,0.000313376006222991,0.0112221655607113,-28244.7567895128,-28206.2658267176,14128.3783947564,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,sGARCH,0.000624869562485561,0.0145424899880528,-27762.03722833,-27736.3765864666,13885.018614165,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
NF_GARCH,sGARCH,0.000317177589667402,0.0112858395639498,-28224.6219527426,-28192.5461504133,14117.3109763713,NF_GARCH_Summary,results/Final/NF_GARCH_Results_manual.xlsx,NF_GARCH_Summary
